"id" "uid" "reg_no" "batch" "biobank_id" "breed" "sex" "sex_name" "born" "event_age_days" "X1a_contact_greeting" "X1b_contact_cooperation" "X1c_contact_handling" "X2a_playful_delight" "X2b_playful_catching" "X2c_playful_catch_drag" "X3a_chase1" "X3a_chase2" "X3b_catching1" "X3b_catching2" "X4_activity" "X5a_avst_playful_interest" "X5b_avst_playful_aggression" "X5c_avst_playful_curiosity" "X5d_avst_playful_delight" "X5e_avst_playful_cooperation" "X6a_surprise_fear" "X6b_surprise_aggression" "X6c_surprise_curiosity" "X6d_surprise_kv_fear" "X6e_surprise_kv_intr" "X7a_noise_fear" "X7b_noise_curiosity" "X7c_noise_kv_fear" "X7d_noise_kv_interest" "X8a_phantom_aggression" "X8b_phantom_control" "X8c_phantom_fear" "X8d_phantom_curiosity" "X8e_phantom_contact" "X9a_playful2_delight" "X9b_playful2_catching" "X10_firearm" "sociability" "curfear" "playfulness" "chapro" "aggres"
"CFA009151" "S58081/2009_741" "S58081/2009" "MH2014" "CFA009151" "GSD" 1 "M" 20090907 741 4 4 4 5 4 5 1 1 1 1 5 3 1 5 5 3 2 1 2 1 2 2 2 1 2 1 3 2 3 4 5 3 1 4 3.43 4.4 1 1
"CFA009152" "S19123/2009_616" "S19123/2009" "MH2014" "CFA009152" "GSD" 0 "F" 20090125 616 4 4 4 5 5 4 4 4 5 5 2 4 1 5 4 4 3 2 3 1 1 3 3 1 2 1 2 1 4 4 5 5 1 4 3.29 4.8 4.5 1.33
"CFA009153" "S19913/2007_482" "S19913/2007" "MH2014" "CFA009153" "GSD" 1 "M" 20070128 482 4 3 3 4 4 5 1 1 1 1 5 3 1 1 1 1 3 3 2 3 3 4 5 3 2 3 5 1 1 3 4 4 1 3.33 2.71 4.2 1 2.33
"CFA009154" "S54071/2008_1040" "S54071/2008" "MH2014" "CFA009154" "GSD" 1 "M" 20080708 1040 4 4 3 3 3 1 1 1 1 1 3 3 1 1 1 1 2 1 3 1 2 2 4 1 1 2 5 1 5 3 1 1 1 3.67 3.71 1.8 1 1.33
"CFA009155" "S52580/2008_478" "S52580/2008" "MH2014" "CFA009155" "GSD" 1 "M" 20080727 478 4 4 3 5 5 5 5 5 4 4 3 5 1 5 5 5 2 1 5 1 1 2 5 1 2 2 5 2 4 4 5 5 1 3.67 4.29 5 4.5 1.33
"CFA009156" "S25346/2009_610" "S25346/2009" "MH2014" "CFA009156" "GSD" 1 "M" 20090227 610 3 2 3 5 3 4 4 4 5 5 4 5 1 5 5 3 3 1 4 1 1 3 5 1 2 3 4 3 5 4 5 4 1 2.67 4 4.2 4.5 1.67
"CFA009157" "S71119/2007_1309" "S71119/2007" "MH2014" "CFA009157" "GSD" 0 "F" 20071111 1309 4 4 2 5 5 4 1 1 1 1 5 3 1 5 5 3 2 1 2 3 1 3 4 1 1 2 3 4 2 4 3 3 1 3.33 3.57 4 1 1.33
"CFA009158" "SE24315/2010_468" "SE24315/2010" "MH2014" "CFA009158" "GSD" 0 "F" 20100214 468 3 3 3 4 5 5 4 4 5 5 3 3 1 3 5 4 3 3 2 3 2 4 3 3 2 1 2 1 1 1 4 4 1 3 2.43 4.4 4.5 1.67
"CFA009159" "S30781/2007_499" "S30781/2007" "MH2014" "CFA009159" "GSD" 1 "M" 20070314 499 3 3 4 5 5 5 1 1 1 1 3 3 1 5 5 5 3 1 5 1 2 3 5 1 2 1 4 1 4 2 5 4 1 3.33 3.86 4.8 1 1
"CFA009162" "S37050/2009_506" "S37050/2009" "MH2014" "CFA009162" "GSD" 0 "F" 20090507 506 4 4 4 5 4 5 4 4 5 5 2 4 1 4 5 3 3 1 4 1 1 1 5 1 1 2 5 2 2 5 5 4 5 4 4.14 4.6 4.5 1.33
"CFA009163" "S66472/2008_585" "S66472/2008" "MH2014" "CFA009163" "GSD" 0 "F" 20080930 585 4 4 3 4 4 3 4 4 5 5 4 4 1 5 5 4 3 2 4 1 2 2 4 1 1 2 4 3 4 4 4 4 1 3.67 4 3.8 4.5 1.67
"CFA009164" "S38731/2008_821" "S38731/2008" "MH2014" "CFA009164" "GSD" 0 "F" 20080516 821 4 4 4 4 3 3 1 1 1 1 3 3 1 5 2 2 2 1 4 1 1 3 4 1 1 1 2 1 4 4 4 2 1 4 3.71 3.2 1 1
"CFA009165" "S25309/2009_423" "S25309/2009" "MH2014" "CFA009165" "GSD" 0 "F" 20090313 423 3 4 4 4 4 4 1 1 1 1 3 3 2 4 4 4 3 3 4 1 1 2 2 1 1 3 4 3 4 4 4 4 1 3.67 3.71 4 1 2.67
"CFA009166" "S55330/2009_409" "S55330/2009" "MH2014" "CFA009166" "GSD" 1 "M" 20090806 409 4 3 3 4 3 3 4 4 5 5 3 3 1 5 4 3 2 3 2 2 3 2 5 1 3 2 3 2 3 3 4 3 1 3.33 3.71 3.4 4.5 2
"CFA009168" "SE14499/2010_607" "SE14499/2010" "MH2014" "CFA009168" "GSD" 1 "M" 20100118 607 3 3 3 4 4 5 1 1 1 1 4 3 4 2 4 3 2 1 2 1 2 3 4 1 1 3 4 3 4 2 4 4 1 3 3.71 4.2 1 2.67
"CFA009169" "S32972/2008_516" "S32972/2008" "MH2014" "CFA009169" "GSD" 0 "F" 20080324 516 4 4 4 5 5 4 1 1 1 1 4 4 1 5 5 4 3 3 3 1 3 4 5 1 3 2 3 4 1 3 5 5 1 4 3.86 4.8 1 2
"CFA009170" "S37652/2009_528" "S37652/2009" "MH2014" "CFA009170" "GSD" 0 "F" 20090507 528 4 3 4 4 3 3 1 1 1 1 3 3 1 3 4 2 2 1 2 1 2 2 5 1 1 1 2 2 2 4 4 3 1 3.67 3.86 3.4 1 1
"CFA009208" "S65801/2009_506" "S65801/2009" "MH2014" "CFA009208" "GSD" 1 "M" 20091122 506 3 3 3 3 3 3 1 1 1 1 3 4 1 4 4 3 4 3 3 2 2 2 4 1 2 2 4 3 4 4 4 4 1 3 3.57 3.4 1 2
"CFA009211" "S15304/2007_1583" "S15304/2007" "MH2014" "CFA009211" "GSD" 0 "F" 20070116 1583 4 4 4 5 4 5 4 4 5 5 2 5 1 5 5 5 1 1 5 1 2 1 4 1 2 1 5 1 5 4 5 4 3 4 4.29 4.6 4.5 1
"CFA009212" "S13040/2008_557" "S13040/2008" "MH2014" "CFA009212" "GSD" 0 "F" 20071218 557 3 3 3 4 3 3 1 1 1 1 2 4 1 4 3 2 2 1 4 1 2 2 4 1 1 2 3 2 5 3 4 3 1 3 4 3.4 1 1.33
"CFA009234" "S41975/2007_719" "S41975/2007" "MH2014" "CFA009234" "GSD" 0 "F" 20070430 719 4 3 3 4 3 4 1 1 1 1 2 3 1 5 4 3 2 1 3 1 2 2 5 1 1 1 4 5 3 4 4 3 1 3.33 4.43 3.6 1 1
"CFA009237" "S19118/2009_496" "S19118/2009" "MH2014" "CFA009237" "GSD" 1 "M" 20090125 496 4 4 4 4 2 3 1 1 1 1 2 3 1 1 1 1 3 1 3 1 1 4 2 2 1 1 4 2 4 3 3 1 1 4 3 2.6 1 1
"CFA009241" "S39475/2009_451" "S39475/2009" "MH2014" "CFA009241" "GSD" 1 "M" 20090613 451 4 4 4 5 5 5 4 4 5 5 3 4 1 5 5 4 3 2 4 1 2 1 5 1 1 2 4 3 4 4 5 5 1 4 4.29 5 4.5 1.67
"CFA009242" "S66653/2007_645" "S66653/2007" "MH2014" "CFA009242" "GSD" 1 "M" 20071006 645 3 3 2 4 4 3 4 5 5 5 4 3 1 5 4 3 3 2 2 3 1 3 5 1 2 2 4 3 2 3 4 4 1 2.67 3.43 3.8 4.75 1.67
"CFA009243" "S16479/2009_428" "S16479/2009" "MH2014" "CFA009243" "GSD" 0 "F" 20090107 428 4 3 4 5 5 5 4 4 5 5 4 5 3 5 5 5 3 3 5 1 1 1 5 1 1 4 5 1 5 4 5 5 1 3.67 4.14 5 4.5 3.33
"CFA009244" "SE29999/2010_471" "SE29999/2010" "MH2014" "CFA009244" "GSD" 1 "M" 20100204 471 3 3 3 4 3 3 1 1 1 1 3 3 1 5 2 2 3 1 2 1 1 2 5 1 1 1 5 3 4 4 3 3 1 3 3.86 3.2 1 1
"CFA009245" "SE24897/2010_456" "SE24897/2010" "MH2014" "CFA009245" "GSD" 1 "M" 20100219 456 3 4 4 4 4 4 4 4 5 5 2 3 1 4 5 5 3 2 5 1 2 1 5 1 2 3 4 1 5 4 4 4 1 3.67 4.14 4 4.5 2
"CFA009247" "S33921/2008_797" "S33921/2008" "MH2014" "CFA009247" "GSD" 0 "F" 20080323 797 4 4 4 4 4 4 1 1 1 1 2 3 1 3 4 1 3 3 3 1 3 1 5 1 1 2 3 2 5 4 4 3 1 4 4 3.8 1 2
"CFA009385" "S14200/2008_462" "S14200/2008" "MH2014" "CFA009385" "GSD" 1 "M" 20071223 462 4 3 3 5 5 3 4 4 5 5 5 5 2 5 5 2 2 2 5 1 2 1 5 1 2 4 4 1 5 4 5 5 1 3.33 4.29 4.6 4.5 2.67
"CFA009389" "S16490/2008_445" "S16490/2008" "MH2014" "CFA009389" "GSD" 0 "F" 20080115 445 3 3 3 1 1 1 1 1 1 1 3 3 1 1 1 1 2 1 3 1 1 3 4 1 2 1 4 2 3 4 1 1 1 3 3.71 1 1 1
"CFA009390" "S25430/2008_441" "S25430/2008" "MH2014" "CFA009390" "GSD" 0 "F" 20080216 441 4 3 3 5 5 5 1 1 1 1 5 3 1 4 5 5 3 2 3 1 3 3 5 1 2 2 5 2 2 4 4 4 1 3.33 3.71 4.6 1 1.67
"CFA009391" "S33627/2007_388" "S33627/2007" "MH2014" "CFA009391" "GSD" 1 "M" 20070404 388 4 3 3 5 3 5 1 1 1 1 3 3 1 2 4 3 2 2 3 3 1 1 5 1 1 1 2 2 4 3 5 3 1 3.33 3.86 4.2 1 1.33
"CFA009423" "S16543/2007_484" "S16543/2007" "MH2014" "CFA009423" "GSD" 0 "F" 20070105 484 4 4 4 4 4 4 1 1 1 1 4 3 1 5 1 2 4 1 3 1 3 2 4 1 1 1 4 1 5 4 4 4 1 4 3.43 4 1 1
"CFA009426" "S29845/2008_502" "S29845/2008" "MH2014" "CFA009426" "GSD" 1 "M" 20080405 502 4 4 4 4 4 4 1 1 1 1 3 5 2 5 4 4 3 2 4 1 2 1 5 1 1 3 4 2 5 4 4 4 1 4 4.14 4 1 2.33
"CFA009434" "S40574/2009_479" "S40574/2009" "MH2014" "CFA009434" "GSD" 1 "M" 20090514 479 4 3 2 4 3 4 1 1 1 1 3 4 1 2 5 2 4 2 2 2 1 4 5 3 2 2 4 5 2 4 4 3 1 3 3.29 3.6 1 1.67
"CFA009438" "S57345/2009_506" "S57345/2009" "MH2014" "CFA009438" "GSD" 0 "F" 20090913 506 4 3 3 4 3 4 1 1 1 1 3 3 1 5 4 4 2 2 5 1 1 2 5 1 1 3 4 2 5 4 4 4 1 3.33 4.29 3.8 1 2
"CFA009468" "S39730/2007_726" "S39730/2007" "MH2014" "CFA009468" "GSD" 1 "M" 20070604 726 3 3 3 4 2 1 1 1 1 1 4 3 1 2 1 1 1 1 5 1 2 1 2 1 1 1 3 1 5 4 3 1 1 3 4 2.2 1 1
"CFA009471" "S51344/2007_575" "S51344/2007" "MH2014" "CFA009471" "GSD" 0 "F" 20070622 575 4 4 4 4 3 3 1 1 1 1 4 2 1 2 1 1 3 1 3 2 1 5 5 3 1 4 4 1 4 5 3 3 1 4 2.86 3.2 1 2
"CFA009472" "S39738/2007_521" "S39738/2007" "MH2014" "CFA009472" "GSD" 1 "M" 20070426 521 4 4 5 5 4 5 1 1 1 1 4 3 1 5 4 4 4 2 5 1 1 4 1 1 2 2 3 2 5 4 4 4 1 4.33 3.14 4.4 1 1.67
"CFA009473" "S41752/2008_1260" "S41752/2008" "MH2014" "CFA009473" "GSD" 1 "M" 20080420 1260 3 2 3 3 4 4 1 1 1 1 2 3 1 3 3 2 3 2 3 1 1 2 5 1 1 1 3 3 4 3 3 3 1 2.67 4 3.4 1 1.33
"CFA009477" "S47496/2008_832" "S47496/2008" "MH2014" "CFA009477" "GSD" 0 "F" 20080518 832 4 4 3 5 4 5 1 1 1 1 3 3 1 2 5 2 3 1 2 2 2 2 5 3 2 1 5 4 4 3 5 3 1 3.67 3.57 4.4 1 1
"CFA009490" "S50972/2009_485" "S50972/2009" "MH2014" "CFA009490" "GSD" 1 "M" 20090726 485 4 4 3 4 4 4 1 1 1 1 3 3 1 5 5 4 2 2 5 1 1 1 5 1 1 3 5 2 4 4 4 4 1 3.67 4.43 4 1 2
"CFA009498" "SE51838/2010_454" "SE51838/2010" "MH2014" "CFA009498" "GSD" 0 "F" 20100711 454 4 3 3 4 4 4 4 4 5 5 4 3 1 3 3 3 4 1 5 1 1 3 5 1 1 2 4 5 3 4 4 4 1 3.33 4.29 4 4.5 1.33
"CFA009506" "SE24892/2010_471" "SE24892/2010" "MH2014" "CFA009506" "GSD" 1 "M" 20100219 471 4 4 3 4 4 5 1 1 1 1 3 4 1 5 5 5 2 1 5 1 3 2 5 1 2 4 4 1 5 4 4 4 1 3.67 4.14 4.2 1 2
"CFA009507" "S22028/2009_466" "S22028/2009" "MH2014" "CFA009507" "GSD" 0 "F" 20090210 466 3 3 4 3 3 3 1 1 1 1 2 3 2 1 1 1 1 1 5 1 1 2 4 1 1 2 3 1 5 3 4 4 1 3.33 4.14 3.4 1 1.67
"CFA009508" "S16087/2009_454" "S16087/2009" "MH2014" "CFA009508" "GSD" 0 "F" 20090118 454 3 1 2 3 3 1 1 1 1 1 3 2 1 1 1 1 4 3 2 1 1 4 5 1 1 3 4 3 1 3 3 1 1 2 3.43 2.2 1 2.33
"CFA009509" "S62128/2007_581" "S62128/2007" "MH2014" "CFA009509" "GSD" 0 "F" 20070901 581 3 3 3 5 4 5 1 1 1 1 4 4 1 2 4 3 3 3 3 1 2 2 3 1 2 3 5 2 2 2 5 3 1 3 3.57 4.4 1 2.33
"CFA009511" "S36160/2008_551" "S36160/2008" "MH2014" "CFA009511" "GSD" 0 "F" 20080331 551 3 2 3 4 4 4 4 4 5 5 2 3 1 4 5 4 3 1 4 1 3 3 5 1 1 1 3 1 4 4 4 4 1 2.67 3.71 4 4.5 1
"CFA009512" "S30608/2009_423" "S30608/2009" "MH2014" "CFA009512" "GSD" 1 "M" 20090318 423 4 3 3 4 3 4 4 4 5 5 4 3 1 5 4 3 1 2 5 1 1 1 5 1 1 3 5 2 2 2 4 3 1 3.33 4.57 3.6 4.5 2
"CFA009533" "S52033/2008_405" "S52033/2008" "MH2014" "CFA009533" "GSD" 0 "F" 20080713 405 4 4 4 4 4 5 1 1 1 1 4 3 1 2 3 2 5 3 2 1 1 5 2 1 1 2 4 3 1 4 4 4 1 4 2.71 4.2 1 2
"CFA009534" "S62577/2007_416" "S62577/2007" "MH2014" "CFA009534" "GSD" 1 "M" 20070906 416 4 4 3 4 3 3 1 1 1 1 2 3 5 1 1 1 4 3 1 4 1 4 1 2 2 3 4 3 2 3 4 3 1 3.67 2.14 3.4 1 3.67
"CFA009535" "S21738/2008_826" "S21738/2008" "MH2014" "CFA009535" "GSD" 0 "F" 20080210 826 4 4 3 4 4 3 1 1 1 1 3 4 2 5 5 4 1 1 5 1 3 1 5 1 1 3 5 2 5 4 4 3 1 3.67 4.57 3.6 1 2
"CFA009536" "S20684/2009_575" "S20684/2009" "MH2014" "CFA009536" "GSD" 1 "M" 20090123 575 4 3 4 4 3 3 1 1 1 1 3 4 1 4 5 4 3 1 4 2 1 2 4 1 1 1 3 4 2 4 4 3 1 3.67 4 3.4 1 1
"CFA009537" "S51611/2007_468" "S51611/2007" "MH2014" "CFA009537" "GSD" 0 "F" 20070318 468 4 3 3 4 5 4 1 1 1 1 3 3 1 1 1 1 3 2 5 4 2 2 5 1 1 3 4 2 4 2 3 3 1 3.33 3.71 3.8 1 2
"CFA009538" "S44189/2009_485" "S44189/2009" "MH2014" "CFA009538" "GSD" 0 "F" 20090528 485 4 4 4 4 4 3 4 4 5 5 3 3 1 4 4 3 1 1 5 1 1 1 5 1 1 3 4 2 4 4 4 4 1 4 4.57 3.8 4.5 1.67
"CFA009539" "S64890/2009_552" "S64890/2009" "MH2014" "CFA009539" "GSD" 0 "F" 20091101 552 4 3 3 4 4 3 1 1 1 1 5 2 1 5 3 2 3 3 1 3 1 4 3 1 1 1 4 3 5 3 4 4 1 3.33 2.86 3.8 1 1.67
"CFA009540" "S21456/2007_848" "S21456/2007" "MH2014" "CFA009540" "GSD" 0 "F" 20070128 848 4 3 3 4 4 5 1 1 1 1 3 3 1 2 2 2 2 1 5 1 1 4 4 1 1 1 4 2 3 4 4 4 1 3.33 3.86 4.2 1 1
"CFA009542" "SE22790/2010_453" "SE22790/2010" "MH2014" "CFA009542" "GSD" 0 "F" 20100216 453 4 4 4 5 4 5 1 1 1 1 4 2 1 2 4 2 2 3 2 1 1 2 4 1 1 3 3 3 5 4 5 4 1 4 3.86 4.6 1 2.33
"CFA009572" "S24249/2007_458" "S24249/2007" "MH2014" "CFA009572" "GSD" 0 "F" 20070222 458 4 4 4 5 4 3 4 4 5 5 5 5 1 5 4 4 1 1 5 1 1 1 5 1 1 3 4 1 4 4 5 4 1 4 4.43 4.2 4.5 1.67
"CFA009573" "S10808/2008_528" "S10808/2008" "MH2014" "CFA009573" "GSD" 0 "F" 20071121 528 4 4 4 4 3 2 1 1 1 1 3 4 3 1 1 1 2 3 3 1 1 3 5 1 1 3 5 2 2 4 2 2 1 4 3.86 2.6 1 3
"CFA009574" "S47071/2007_456" "S47071/2007" "MH2014" "CFA009574" "GSD" 0 "F" 20070609 456 4 4 3 4 3 3 1 1 1 1 2 2 1 4 3 3 2 1 2 1 1 3 4 3 3 1 2 1 3 4 3 2 1 3.67 3.14 3 1 1
"CFA009575" "S44674/2007_461" "S44674/2007" "MH2014" "CFA009575" "GSD" 1 "M" 20070611 461 4 3 3 2 1 1 1 1 1 1 2 3 1 1 1 1 3 1 2 3 1 3 2 1 2 2 4 2 4 4 2 1 1 3.33 2.86 1.4 1 1.33
"CFA009576" "S31400/2009_516" "S31400/2009" "MH2014" "CFA009576" "GSD" 1 "M" 20090404 516 4 3 3 4 3 4 1 1 1 1 3 4 1 4 4 4 3 2 4 1 2 3 4 1 1 1 4 2 4 4 4 4 1 3.33 3.71 3.8 1 1.33
"CFA009577" "S60162/2009_527" "S60162/2009" "MH2014" "CFA009577" "GSD" 1 "M" 20090903 527 4 4 3 5 4 4 4 4 5 5 4 3 1 5 5 4 3 2 3 1 2 2 5 1 1 3 4 2 3 4 5 4 1 3.67 3.86 4.4 4.5 2
"CFA009578" "S22772/2007_572" "S22772/2007" "MH2014" "CFA009578" "GSD" 1 "M" 20070212 572 4 4 4 5 4 5 4 4 5 5 2 5 1 5 5 5 3 2 3 1 3 1 5 2 3 3 5 1 2 4 4 4 1 4 3.71 4.4 4.5 2
"CFA009584" "S46538/2007_680" "S46538/2007" "MH2014" "CFA009584" "GSD" 0 "F" 20070608 680 4 4 4 4 4 3 1 1 1 1 2 2 1 2 1 1 2 1 4 1 1 2 3 1 1 1 3 1 5 4 4 4 1 4 3.71 3.8 1 1
"CFA009585" "SE20528/2010_471" "SE20528/2010" "MH2014" "CFA009585" "GSD" 0 "F" 20100121 471 4 3 3 4 4 5 1 1 1 1 2 3 2 1 1 1 2 3 3 1 3 3 4 1 1 3 3 1 5 5 4 4 1 3.33 3.57 4.2 1 2.67
"CFA009586" "SE17030/2010_463" "SE17030/2010" "MH2014" "CFA009586" "GSD" 1 "M" 20100130 463 4 4 3 5 5 5 1 1 1 1 3 1 1 3 4 3 3 3 5 1 1 1 4 1 1 2 3 2 5 4 5 5 3 3.67 4.14 5 1 2
"CFA009587" "SE17025/2010_407" "SE17025/2010" "MH2014" "CFA009587" "GSD" 0 "F" 20100219 407 4 3 3 2 1 1 1 1 1 1 4 3 1 1 1 1 3 2 2 1 3 3 5 1 1 2 4 2 5 4 2 1 1 3.33 3.57 1.4 1 1.67
"CFA009588" "S28596/2007_1476" "S28596/2007" "MH2014" "CFA009588" "GSD" 1 "M" 20070326 1476 3 3 3 4 4 5 1 1 1 1 2 3 1 1 1 1 3 2 2 2 2 3 3 1 1 2 5 5 4 4 4 3 2 3 3.57 4 1 1.67
"CFA009589" "S37634/2007_542" "S37634/2007" "MH2014" "CFA009589" "GSD" 1 "M" 20070502 542 4 5 2 5 3 3 4 4 5 5 5 2 1 5 5 3 2 1 2 1 2 2 4 1 1 2 3 1 4 4 4 5 1 3.67 3.57 4 4.5 1.33
"CFA009590" "S65655/2008_584" "S65655/2008" "MH2014" "CFA009590" "GSD" 0 "F" 20081016 584 4 3 4 2 1 1 1 1 1 1 2 2 1 1 1 1 3 1 4 1 1 1 4 1 1 2 3 1 4 4 2 1 1 3.67 3.86 1.4 1 1.33
"CFA009591" "S65471/2008_541" "S65471/2008" "MH2014" "CFA009591" "GSD" 1 "M" 20081003 541 4 3 3 4 5 5 1 1 1 1 3 4 1 5 5 3 3 1 5 1 2 3 5 1 1 3 4 2 5 4 5 4 1 3.33 4 4.6 1 1.67
"CFA009592" "S43751/2009_455" "S43751/2009" "MH2014" "CFA009592" "GSD" 0 "F" 20090607 455 3 4 3 4 4 3 1 1 1 1 3 3 1 2 4 2 2 2 4 1 1 3 5 1 1 3 3 1 3 3 4 4 1 3.33 3.86 3.8 1 2
"CFA009593" "S51317/2007_805" "S51317/2007" "MH2014" "CFA009593" "GSD" 0 "F" 20070623 805 4 5 4 5 4 5 4 4 5 5 3 5 3 5 5 4 2 1 5 1 1 1 5 1 3 1 3 1 5 5 5 5 1 4.33 4.29 4.8 4.5 1.67
"CFA009594" "S18884/2007_432" "S18884/2007" "MH2014" "CFA009594" "GSD" 0 "F" 20070122 432 3 4 3 4 4 5 1 1 1 1 2 3 1 2 1 1 3 2 3 2 1 3 3 1 1 2 3 3 3 3 4 4 1 3.33 3.43 4.2 1 1.67
"CFA009595" "S38092/2008_524" "S38092/2008" "MH2014" "CFA009595" "GSD" 1 "M" 20080515 524 3 3 3 4 4 5 1 1 1 1 3 4 1 5 5 3 1 1 5 1 2 1 5 1 1 5 5 1 5 4 4 5 1 3 4.43 4.4 1 2.33
"CFA009598" "S58611/2007_457" "S58611/2007" "MH2014" "CFA009598" "GSD" 0 "F" 20070809 457 4 3 4 5 4 5 4 4 5 5 5 5 1 5 4 3 1 1 5 1 1 1 5 1 1 1 4 1 5 4 5 4 1 3.67 4.43 4.6 4.5 1
"CFA009599" "S40193/2008_383" "S40193/2008" "MH2014" "CFA009599" "GSD" 0 "F" 20080428 383 3 3 3 4 4 3 1 1 1 1 3 3 1 4 4 5 3 3 3 2 1 4 5 1 1 2 5 1 5 4 4 3 1 3 3.29 3.6 1 2
"CFA009601" "S38097/2008_513" "S38097/2008" "MH2014" "CFA009601" "GSD" 1 "M" 20080411 513 4 3 4 5 4 4 4 4 5 5 2 4 1 5 5 3 2 2 5 1 3 2 5 1 1 3 5 1 5 4 5 4 1 3.67 4.14 4.4 4.5 2
"CFA009602" "S54533/2009_614" "S54533/2009" "MH2014" "CFA009602" "GSD" 0 "F" 20090803 614 3 3 3 3 3 2 1 1 1 1 3 1 1 1 1 1 4 2 2 3 2 4 2 4 2 1 2 4 3 3 3 3 1 3 2.43 2.8 1 1.33
"CFA009603" "S55683/2008_681" "S55683/2008" "MH2014" "CFA009603" "GSD" 0 "F" 20080718 681 5 4 4 4 3 3 1 1 1 1 4 4 1 5 2 2 3 3 2 1 3 2 4 1 3 3 5 3 3 3 3 3 1 4.33 3.71 3.2 1 2.33
"CFA009605" "S27177/2007_406" "S27177/2007" "MH2014" "CFA009605" "GSD" 1 "M" 20070303 406 4 4 4 4 3 4 4 4 5 5 3 3 1 4 5 2 1 1 5 1 1 1 5 1 1 4 5 1 5 4 4 2 1 4 4.43 3.4 4.5 2
"CFA009606" "S47064/2009_427" "S47064/2009" "MH2014" "CFA009606" "GSD" 1 "M" 20090627 427 4 4 4 4 4 4 1 1 1 1 3 4 2 4 5 3 4 1 2 1 1 2 4 1 1 4 5 2 5 4 4 4 1 4 3.43 4 1 2.33
"CFA009607" "S11900/2009_515" "S11900/2009" "MH2014" "CFA009607" "GSD" 0 "F" 20081126 515 4 3 1 4 2 2 1 1 1 1 2 3 1 2 2 1 4 1 1 3 2 2 5 1 1 2 4 3 2 4 4 4 3 2.67 3.29 3.2 1 1.33
"CFA009609" "S38093/2008_524" "S38093/2008" "MH2014" "CFA009609" "GSD" 0 "F" 20080515 524 4 3 4 5 5 5 4 4 5 5 3 5 2 5 5 4 3 4 4 1 2 1 5 1 1 3 5 2 5 4 5 5 1 3.67 4.14 5 4.5 3
"CFA009610" "S62677/2009_733" "S62677/2009" "MH2014" "CFA009610" "GSD" 0 "F" 20091005 733 4 4 3 4 4 3 1 1 1 1 2 3 1 5 5 4 2 1 5 1 2 3 5 1 1 2 3 2 2 4 4 4 1 3.67 4.14 3.8 1 1.33
"CFA009612" "S29823/2007_387" "S29823/2007" "MH2014" "CFA009612" "GSD" 1 "M" 20070308 387 4 4 4 5 5 5 1 1 1 1 4 2 1 5 5 5 2 1 3 1 1 1 4 1 1 1 5 1 5 4 5 5 1 4 3.86 5 1 1
"CFA009613" "S62581/2007_447" "S62581/2007" "MH2014" "CFA009613" "GSD" 0 "F" 20071014 447 4 2 4 3 3 2 1 1 1 1 3 3 1 5 3 3 3 2 5 1 1 2 5 1 1 3 4 3 4 4 4 3 1 3.33 4.29 3 1 2
"CFA009614" "SE38091/2010_471" "SE38091/2010" "MH2014" "CFA009614" "GSD" 1 "M" 20100516 471 4 4 4 5 5 5 1 1 1 1 3 3 2 4 4 4 2 3 4 1 2 2 5 1 2 3 4 2 4 4 5 5 1 4 4.14 5 1 2.67
"CFA009619" "SE24965/2010_443" "SE24965/2010" "MH2014" "CFA009619" "GSD" 0 "F" 20100226 443 4 2 4 4 4 4 1 1 1 1 3 2 1 1 1 1 1 1 5 1 1 2 4 1 1 1 2 1 3 4 4 4 1 3.33 4.14 4 1 1
"CFA009620" "S21617/2009_492" "S21617/2009" "MH2014" "CFA009620" "GSD" 0 "F" 20090205 492 4 4 4 4 3 3 1 1 1 1 5 3 1 4 5 3 3 1 4 1 2 2 4 1 2 1 3 3 5 4 4 4 1 4 4 3.6 1 1
"CFA009623" "S17114/2009_509" "S17114/2009" "MH2014" "CFA009623" "GSD" 1 "M" 20090105 509 4 4 4 4 3 4 4 4 5 5 3 3 1 5 5 3 4 2 4 1 3 3 4 1 3 3 3 4 1 4 4 4 1 4 3.86 3.8 4.5 2
"CFA009624" "S12808/2008_1066" "S12808/2008" "MH2014" "CFA009624" "GSD" 1 "M" 20071206 1066 4 4 4 4 4 5 1 1 1 1 2 3 3 4 5 3 3 3 3 1 2 2 5 1 1 4 4 2 1 3 4 4 1 4 3.86 4.2 1 3.33
"CFA009625" "S16937/2007_520" "S16937/2007" "MH2014" "CFA009625" "GSD" 0 "F" 20070112 520 4 2 2 3 3 1 1 1 1 1 2 3 3 1 1 1 3 1 4 1 1 3 2 2 2 2 4 4 1 4 3 3 1 2.67 3.57 2.6 1 2
"CFA009626" "S53300/2008_504" "S53300/2008" "MH2014" "CFA009626" "GSD" 1 "M" 20080426 504 4 4 4 5 5 5 4 4 5 5 3 3 1 5 5 5 3 1 5 1 1 3 5 1 1 1 5 1 5 4 5 5 1 4 3.86 5 4.5 1
"CFA009627" "S59605/2007_418" "S59605/2007" "MH2014" "CFA009627" "GSD" 1 "M" 20070827 418 4 4 3 4 3 5 1 1 1 1 3 3 1 1 1 1 3 3 2 1 2 2 2 1 2 2 3 2 1 3 4 3 1 3.67 3.29 3.8 1 2
