"id" "uid" "reg_no" "batch" "biobank_id" "breed" "sex" "sex_name" "born" "event_age_days" "X1a_contact_greeting" "X1b_contact_cooperation" "X1c_contact_handling" "X2a_playful_delight" "X2b_playful_catching" "X2c_playful_catch_drag" "X3a_chase1" "X3a_chase2" "X3b_catching1" "X3b_catching2" "X4_activity" "X5a_avst_playful_interest" "X5b_avst_playful_aggression" "X5c_avst_playful_curiosity" "X5d_avst_playful_delight" "X5e_avst_playful_cooperation" "X6a_surprise_fear" "X6b_surprise_aggression" "X6c_surprise_curiosity" "X6d_surprise_kv_fear" "X6e_surprise_kv_intr" "X7a_noise_fear" "X7b_noise_curiosity" "X7c_noise_kv_fear" "X7d_noise_kv_interest" "X8a_phantom_aggression" "X8b_phantom_control" "X8c_phantom_fear" "X8d_phantom_curiosity" "X8e_phantom_contact" "X9a_playful2_delight" "X9b_playful2_catching" "X10_firearm" "sociability" "curfear" "playfulness" "chapro" "aggres"
"S57448-2008" "S57448/2008_472" "S57448/2008" "L2012" "S57448-2008" "GSD" 1 "M" 20080719 472 4 4 3 5 5 5 4 4 5 5 3 5 3 5 5 4 3 3 5 1 1 2 5 1 1 4 5 2 4 4 5 5 1 3.67 4.14 5 4.5 3.33
"S66870-2008" "S66870/2008_451" "S66870/2008" "L2012" "S66870-2008" "GSD" 1 "M" 20081031 451 4 4 3 5 5 5 4 4 4 4 3 5 1 5 5 4 2 3 4 1 1 1 5 1 1 4 5 1 5 4 5 5 1 3.67 4.14 5 4 2.67
"S67541-2007" "S67541/2007_731" "S67541/2007" "L2012" "S67541-2007" "GSD" 1 "M" 20071117 731 3 3 3 4 4 4 4 4 4 4 3 4 2 5 4 4 3 2 4 1 3 2 5 1 1 2 3 3 4 4 4 5 1 3 4.14 4.2 4 2
"S67582-2008" "S67582/2008_1299" "S67582/2008" "L2012" "S67582-2008" "GSD" 1 "M" 20081105 1299 4 3 3 5 4 5 1 3 1 3 2 3 1 4 5 1 2 1 4 1 1 3 4 1 1 1 4 1 4 3 5 4 1 3.33 3.71 4.6 2 1
"SE14539-2010" "SE14539/2010_828" "SE14539/2010" "L2012" "SE14539-2010" "GSD" 1 "M" 20100108 828 4 4 4 4 4 5 4 4 3 4 3 3 1 5 5 3 3 1 3 1 2 3 5 1 2 1 4 1 4 4 4 4 1 4 3.57 4.2 3.75 1
"SE19358-2010" "SE19358/2010_477" "SE19358/2010" "L2012" "SE19358-2010" "GSD" 0 "F" 20100208 477 3 4 3 3 3 3 4 4 2 3 2 1 1 1 1 1 3 2 3 1 3 3 4 1 2 1 2 3 3 4 3 3 1 3.33 3.71 3 3.25 1.33
"SE28725-2010" "SE28725/2010_505" "SE28725/2010" "L2012" "SE28725-2010" "GSD" 0 "F" 20100407 505 4 4 4 5 5 5 4 4 4 4 3 5 3 5 5 4 3 3 4 1 1 2 5 1 1 3 4 2 4 4 5 5 1 4 4 5 4 3
"SE38097-2010" "SE38097/2010_492" "SE38097/2010" "L2012" "SE38097-2010" "GSD" 0 "F" 20100516 492 4 4 3 4 4 4 1 1 1 1 3 4 1 5 4 4 3 3 4 1 2 2 5 1 1 4 5 4 4 4 4 4 1 3.67 4.29 4 1 2.67
"SE43518-2010" "SE43518/2010_490" "SE43518/2010" "L2012" "SE43518-2010" "GSD" 0 "F" 20100622 490 4 4 4 5 5 5 4 4 5 5 3 3 2 5 4 4 3 3 4 1 1 2 5 1 1 3 4 2 4 4 5 5 1 4 4 5 4.5 2.67
"SE43529-2010" "SE43529/2010_735" "SE43529/2010" "L2012" "SE43529-2010" "GSD" 1 "M" 20100625 735 4 4 3 5 4 5 3 2 2 1 4 3 1 3 5 5 1 1 5 1 1 1 5 1 1 2 3 2 5 4 5 4 1 3.67 4.57 4.6 2 1.33
