Typ;Nr;Namn;Address1;Address2;Address3;Address4;Address5;RT90x;RT90y
Butik;102;Faltoversten;Karlaplan 13;;115 20;STOCKHOLM;Stockholms lan;6582011;1630064
Butik;104;;Nybrogatan 47;;114 39;STOCKHOLM;Stockholms lan;6581787;1629382
Butik;106;Garnisonen;Karlavagen 100 A;;115 26;STOCKHOLM;Stockholms lan;6581720;1630377
Butik;110;;Hotorgshallen;;111 57;STOCKHOLM;Stockholms lan;6581443.113;1628483.985
Butik;113;;Klarabergsgatan 62;;111 21;STOCKHOLM;Stockholms lan;6581151;1628300
Butik;114;PK-Huset;Norrlandsgatan 3;;111 47;STOCKHOLM;Stockholms lan;6581348.98;1628962.251
Butik;116;;Drottninggatan 22;;111 51;STOCKHOLM;Stockholms lan;6581037;1628616
Butik;132;Marieberg;Ralambsvagen 7-9;;112 59;STOCKHOLM;Stockholms lan;6580676;1625947
Butik;133;;Kungsholmstorg 11 A;;112 21;STOCKHOLM;Stockholms lan;6580745;1627343
Butik;134;;Lindhagensgatan 118;;112 51;STOCKHOLM;Stockholms lan;6581680;1625435
Butik;135;;Ångermannagatan 165;;162 65;VÄLLINGBY;Stockholms lan;6584334;1617652
Butik;137;;Fleminggatan 56;;112 45;STOCKHOLM;Stockholms lan;6581458;1626624
Butik;138;;Odengatan 92;;113 22;STOCKHOLM;Stockholms lan;6582135;1627265
Butik;140;Torsplan;Solnavagen 2b;;S-113 65;STOCKHOLM;Stockholms lan;6582767.095;1626747.961
Butik;143;Odenplan;Odengatan 58;;113 22;STOCKHOLM;Stockholms lan;6582461;1627884
Butik;144;Jarlaplan;Birger Jarlsgatan 84;;114 20;STOCKHOLM;Stockholms lan;6582620;1628484
Butik;145;;Sveavagen 66;;111 34;STOCKHOLM;Stockholms lan;6581989;1628333
Butik;146;;Vasagatan 25;;111 20;STOCKHOLM;Stockholms lan;6581457;1628077
Butik;147;Brommaplan;Kladesvagen 12;;168 76;BROMMA;Stockholms lan;6581729;1621475
Butik;148;;Hasselby Torg 3;;165 55;HÄSSELBY;Stockholms lan;6584696;1615877
Butik;150;;Kista Galleria;;164 91;KISTA;Stockholms lan;6588823.336;1621493.13
Butik;151;Bromma Blocks;Ulvsundavagen 189 A;;S-168 67;BROMMA;Stockholms lan;6583670;1622217
Butik;163;Ringen;Gotgatan 132;;S-118 62;STOCKHOLM;Stockholms lan;6578584;1629331
Butik;165;;Folkungagatan 56;;S-116 22;STOCKHOLM;Stockholms lan;6579247;1629262
Butik;166;Soderhallarna;Medborgarplatsen 3;;118 26;STOCKHOLM;Stockholms lan;6579281;1629032
Butik;167;;Folkungagatan 101;;S-116 30;STOCKHOLM;Stockholms lan;6579419;1629788
Butik;168;;Gullmarsplan 4-6;;S-121 40;JOHANNESHOV;Stockholms lan;6577496;1629545
Butik;170;Globen;Slakthusgatan 3-5;;121 62;JOHANNESHOV;Stockholms lan;6576764;1629653
Butik;171;Liljeholmen;Liljeholmstorget 3, plan 1;;117 63;STOCKHOLM;Stockholms lan;6578641;1626263
Butik;172;;Rosenlundsgatan 7;;118 53;STOCKHOLM;Stockholms lan;6579483;1628162
Butik;173;Hammarby Sjostad;Lugnets Allé 26-28;;120 66;STOCKHOLM;Stockholms lan;6577945;1630863
Butik;174;;Langholmsgatan 21A;;S-117 33;STOCKHOLM;Stockholms lan;6579419;1626918
Butik;176;;Vastbergavagen 4;;12630;Hagersten;Stockholms lan;6576902.241;1625281.754
Butik;177;;Hogdalsgangen 19;;124 54;BANDHAGEN;Stockholms lan;6573564;1627470
Butik;178;;Farstaplan 27;;S-123 47;FARSTA;Stockholms lan;6571337;1630460
Butik;180;;Fruangsgangen 10;;129 52;HÄGERSTEN;Stockholms lan;6575853;1623050
Butik;182;;Skarholmsplan 1;;127 48;SKÄRHOLMEN;Stockholms lan;6574717;1619970
Butik;201;;Postgangen 28;;171 45;SOLNA;Stockholms lan;6584237;1624809
Butik;202;;Landsvagen 53 B;;172 65;SUNDBYBERG;Stockholms lan;6584281;1622984
Butik;204;;Soderhamnen 10;;185 31;VAXHOLM;Stockholms lan;6589550;1644635
Butik;205;;Centrumtorget;;763 00;HALLSTAVIK;Stockholms lan;6662319;1655444
Butik;206;;Tullportsgatan 12;;761 30;NORRTÄLJE;Stockholms lan;6629948;1662690
Butik;207;;Stora Gatan 56 C;;193 30;SIGTUNA;Stockholms lan;6612198;1608078
Butik;208;;Lunagallerian;;151 72;SÖDERTÄLJE;Stockholms lan;6565397;1604088
Butik;209;;Genetaleden 7;;151 59;SÖDERTÄLJE;Stockholms lan;6564261;1601112
Butik;210;;Morbyvagen 3;;149 31;NYNÄSHAMN;Stockholms lan;6533261;1623371
Butik;211;;Friggavagen 24;;181 32;LIDINGÖ;Stockholms lan;6585132;1632476
Butik;212;Arninge;Saluvagen 5;;187 66;TÄBY;Stockholms lan;6595729;1632265
Butik;213;Morby Centrum;Golfvagen 6A;;182 31;DANDERYD;Stockholms lan;6588398;1626774
Butik;214;Jakobsbergs Centrum;Banérstraket;;S-177 30;JÄRFÄLLA;Stockholms lan;6591022;1615351
Butik;215;Taby Centrum;Norra Galleriagangen 1024;;183 34;TÄBY;Stockholms lan;6593479;1628295
Butik;216;;Sollentuna Centrum;;191 47;SOLLENTUNA;Stockholms lan;6591691;1621815
Butik;217;;Kommunalvagen 18;;141 47;HUDDINGE;Stockholms lan;6570392.808;1624152.762
Butik;218;;Nymarsta Kulle 3;;195 30;MÄRSTA;Stockholms lan;6612944;1615673
Butik;219;Vasby Centrum;Dragonvagen 86;;194 33;UPPLANDS VÄSBY;Stockholms lan;6601702;1619136
Butik;220;;Forum;;S-131 53;NACKA;Stockholms lan;6578963;1634331
Butik;221;;Marknadsgrand 29;;135 40;TYRESÖ;Stockholms lan;6571675;1638416
Butik;222;Haninge Centrum;Drakslingan 12;;136 46;HANINGE;Stockholms lan;6563348;1633511
Butik;223;;Centrum;;S-134 30;GUSTAVSBERG;Stockholms lan;6581309;1647235
Butik;224;;Torggatan 19;;S-133 31;SALTSJÖBADEN;Stockholms lan;6576366;1640791
Butik;225;;Tumba Torg 8;;147 01;TUMBA;Stockholms lan;6565937;1615878
Butik;226;Botkyrka;Kumla Gardsvag 30 A;;145 63;NORSBORG;Stockholms lan;6570287.417;1615685.029
Butik;227;Skogas Centrum;Skogasplan 9 bv;;142 30;SKOGÅS;Stockholms lan;6568637;1634130
Butik;228;;Storangstorget 1;;184 30;ÅKERSBERGA;Stockholms lan;6598093;1641290
Butik;229;;Tuna Torg 19;;186 31;VALLENTUNA;Stockholms lan;6603903;1628598
Butik;230;Orminge Centrum;Ormingeplan 3;;S-132 30;SALTSJÖ-BOO;Stockholms lan;6581002;1639572
Butik;231;Ekero Centrum;Ångbatsvagen 4;;178 30;EKERÖ;Stockholms lan;6576156;1614352
Butik;232;Kungens Kurva;Tangentvagen 2;;141 75;KUNGENS KURVA;Stockholms lan;6574107.314;1620698.02
Butik;234;Salem Centrum;Saby Torg 5;;144 30;RÖNNINGE;Stockholms lan;6566141;1612076
Butik;235;;Kyrkvagen 4 A;;196 30;KUNGSÄNGEN;Stockholms lan;6597090;1610260
Butik;236;;Kopmannagatan 2;;762 31;RIMBO;Stockholms lan;6627660;1644016
Butik;237;Sickla;Siroccogatan 7;;131 54;NACKA;Stockholms lan;6578275;1632466
Butik;238;Molnvik;Fenix Vag 4;;S-134 44;GUSTAVSBERG;Stockholms lan;6579896.447;1649187.164
Butik;239;Vasterhaninge centrum;Kyrkvagen 2;;137 38;VÄSTERHANINGE;Stockholms lan;6557982;1631801
Butik;240;Rotebro;Konsumentvagen 1;;192 68;SOLLENTUNA;Stockholms lan;6596372;1619580
Butik;241;;Viksjo Centrum;;S-175 45;JÄRFÄLLA;Stockholms lan;6589540;1613484
Butik;242;;Centrumvagen 2;;155 30;NYKVARN;Stockholms lan;6563044;1592942
Butik;243;Barkarby;Majorsvagen 2 D;;177 44;JÄRFÄLLA;Stockholms lan;6590020;1616802
Butik;244;Mall of Scandinavia;Rasta Strandvag 13C;;169 79;Solna;Stockholms lan;6585235.789;1625151.209
Butik;245;Haninge Soderby;Österport 2;;136 65;HANINGE;Stockholms lan;6564602.199;1634535.833
Butik;246;Haggvik;Norra Malmvagen 80-82;;191 62;SOLLENTUNA;Stockholms lan;6592905.95;1620873.88
Butik;301;Gottsunda centrum;Valthornsvagen;;S-756 50;UPPSALA;Uppsala lan;6633403;1602399
Butik;302;;Dragarbrunnsgatan 48 A;;S-753 20;UPPSALA;Uppsala lan;6639091;1602924
Butik;303;Stenhagen;Herrhagsvagen 1;;S-752 67;UPPSALA;Uppsala lan;6637930;1598530
Butik;305;Granby Centrum;Marknadsgatan;;S-754 31;UPPSALA;Uppsala lan;6641214;1604586
Butik;306;;Centrumgrand;;S-746 32;BÅLSTA;Uppsala lan;6606509;1597406
Butik;307;;Östra Ringgatan 21;;749 35;ENKÖPING;Uppsala lan;6613246;1572022
Butik;308;;Centralgatan 14;;S-815 38;TIERP;Uppsala lan;6692989;1594382
Butik;309;;Radhusgatan 10;;S-742 42;ÖREGRUND;Uppsala lan;6694119;1645477
Butik;310;;Centrumgatan 7;;S-814 30;SKUTSKÄR;Uppsala lan;6724141;1588100
Butik;311;Kvarnen;Vaksalagatan 30;;S-753 31;UPPSALA;Uppsala lan;6639512;1603172
Butik;312;Bolanderna;Stangjarnsgatan 10;;S-753 23;UPPSALA;Uppsala lan;6637844;1605483
Butik;313;;Gredelbyvagen 1;;S-741 40;KNIVSTA;Uppsala lan;6624652.076;1611679.798
Butik;401;Nykoping City;Vastra Storgatan 13;;611 31;NYKÖPING;Sodermanlands lan;6515028.895;1569376.114
Butik;402;;Östra Langgatan 35;;619 30;TROSA;Sodermanlands lan;6531831;1600452
Butik;403;;Kungsgatan 12;;632 20;ESKILSTUNA;Sodermanlands lan;6583501;1540344
Butik;404;Tuna park;Albertina Nystroms vag 2;;632 22;ESKILSTUNA;Sodermanlands lan;6584036;1537739
Butik;405;;Levins Grand 1;;644 32;TORSHÄLLA;Sodermanlands lan;6589036;1538111
Butik;406;;Kopmangatan 9;;641 30;KATRINEHOLM;Sodermanlands lan;6541645;1523150
Butik;407;;Tradgardsgatan 12;;645 31;STRÄNGNÄS;Sodermanlands lan;6584622;1569400
Butik;408;;Storgatan 17-19;;647 30;MARIEFRED;Sodermanlands lan;6571761;1580719
Butik;409;;Landsvagsgatan 26;;642 60;MALMKÖPING;Sodermanlands lan;6557184;1552835
Butik;410;;Gotgatan 1;;S-642 37;FLEN;Sodermanlands lan;6548884;1545074
Butik;411;;Jarntorget 1;;613 30;OXELÖSUND;Sodermanlands lan;6505986;1575358
Butik;412;;Storgatan 18-20;;643 30;VINGÅKER;Sodermanlands lan;6547855.233;1504237.313
Butik;413;;Vastra Storgatan 16 A;;646 31;GNESTA;Sodermanlands lan;6548443;1586187
Butik;414;Gustafsberg;Gustafsbergsstigen 4;;611 67;NYKÖPING;Sodermanlands lan;6517119.125;1570645.471
Butik;501;;Ekholmens Centrum;;S-589 25;LINKÖPING;Östergotlands lan;6473035;1492658
Butik;504;Tornby;Svedengatan 9;;S-582 73;LINKÖPING;Östergotlands lan;6479145.019;1487377.664
Butik;505;Gyllentorget;Repslagaregatan 25-27;;S-582 22;LINKÖPING;Östergotlands lan;6476390;1489594
Butik;506;;Adelswardsgatan 4 C;;S-597 30;ÅTVIDABERG;Östergotlands lan;6453149;1511376
Butik;507;;Jerikodalsgatan 1-3;;S-595 30;MJÖLBY;Östergotlands lan;6467120;1460174
Butik;509;;Hovsgatan 4;;592 30;VADSTENA;Östergotlands lan;6480824;1446505
Butik;510;;Kungsgatan 20;;S-591 30;MOTALA;Östergotlands lan;6490756;1455091
Butik;513;;Hantverkaregatan 26;;602 32;NORRKÖPING;Östergotlands lan;6496126;1522429
Butik;516;;Mirum Galleria;;603 59;NORRKÖPING;Östergotlands lan;6494501;1523596
Butik;517;Ingelsta;Blygatan 27;;602 23;NORRKÖPING;Östergotlands lan;6499208;1520906
Butik;518;;Radhustorget 2;;614 34;SÖDERKÖPING;Östergotlands lan;6484436;1530015
Butik;519;;Centralplan;;615 30;VALDEMARSVIK;Östergotlands lan;6453595;1546891
Butik;520;;Bergslagsvagen 9;;612 30;FINSPÅNG;Östergotlands lan;6509414;1498252
Butik;521;;Torggatan 3;;S-590 37;KISA;Östergotlands lan;6429382;1489791
Butik;522;;Riddaregatan 1;;599 31;ÖDESHÖG;Östergotlands lan;6456749;1432291
Butik;523;;Hagagatan 1a;;S-570 60;ÖSTERBYMO;Östergotlands lan;6411365;1468650
Butik;524;;Postgatan 5 C;;S-590 11;BOXHOLM;Östergotlands lan;6452813;1455910
Butik;525;Djurgarden;Åsmestadsgatan 6;;S-583 38;Linkoping;Östergotlands lan;6473703;1487321
Butik;601;A6;Kompanigata 16-18;;553 05;JÖNKÖPING;Jonkopings lan;6406582;1404702
Butik;602;Atollen;Fiskargrand 5;;553 20;JÖNKÖPING;Jonkopings lan;6407378.48;1402829.945
Butik;604;;Jonkopingsvagen 7 B;;566 31;HABO;Jonkopings lan;6421781;1397415
Butik;605;;Flanaden;;331 30;VÄRNAMO;Jonkopings lan;6341157;1393302
Butik;606;;Rosenborgsgatan 33;;561 31;HUSKVARNA;Jonkopings lan;6408236;1408994
Butik;607;;Storgatan 34;;571 31;NÄSSJÖ;Jonkopings lan;6392635;1433722
Butik;608;;Biblioteksgatan 8;;574 32;VETLANDA;Jonkopings lan;6366864;1456746
Butik;609;;Sodra Storgatan 4 C;;575 31;EKSJÖ;Jonkopings lan;6393656;1450327
Butik;610;;Storgatan 23;;573 32;TRANÅS;Jonkopings lan;6434741;1450918
Butik;611;;Kopmangatan 4;;332 32;GISLAVED;Jonkopings lan;6355208;1363441
Butik;612;;Storgatan 5;;576 31;SÄVSJÖ;Jonkopings lan;6364513;1431555
Butik;613;;Kopmansgatan 6;;578 32;ANEBY;Jonkopings lan;6413151;1441089
Butik;615;;Kopmansgatan 2;;335 30;GNOSJÖ;Jonkopings lan;6361163.206;1375268.598
Butik;616;;Jarnvagsgatan 29;;565 32;MULLSJÖ;Jonkopings lan;6422852;1386083
Butik;618;;Centralplan 1;;568 30;SKILLINGARYD;Jonkopings lan;6368234;1397112
Butik;619;;Ribbagardsgrand 2;;563 31;GRÄNNA;Jonkopings lan;6433960;1420909
Butik;701;Affarshuset Tegner;Storgatan 40;;352 31;VÄXJÖ;Kronobergs lan;6306289;1438691
Butik;702;;Eskilsgatan 7;;341 30;LJUNGBY;Kronobergs lan;6302408;1386202
Butik;703;;Norra Esplanaden 6;;S-343 30;ÄLMHULT;Kronobergs lan;6270668;1397644
Butik;704;;Storgatan 14;;342 30;ALVESTA;Kronobergs lan;6308791;1423876
Butik;705;;Drottninggatan 32;;S-285 31;MARKARYD;Kronobergs lan;6261969;1364034
Butik;706;;Storgatan 74;;362 30;TINGSRYD;Kronobergs lan;6266611;1449184
Butik;707;Samarkand;Hejaregatan 22;;352 46;VÄXJÖ;Kronobergs lan;6306955;1436486
Butik;708;;Olofsgatan 10;;364 30;ÅSEDA;Kronobergs lan;6338507;1472131
Butik;709;;Storgatan 71;;360 50;LESSEBO;Kronobergs lan;6291735;1467278
Butik;801;Giraffen;Verkstadsgatan 8;;392 39;KALMAR;Kalmar lan;6282701;1532558
Butik;802;;Norra Langgatan 23-25;;392 32;KALMAR;Kalmar lan;6282033;1534227
Butik;804;;Lottorpsvagen 39;;387 72;LÖTTORP;Kalmar lan;6338318;1572184
Butik;805;;Östra Kyrkogatan 19;;387 31;BORGHOLM;Kalmar lan;6306084;1551887
Butik;806;;Ölands Kopstad;;386 31;FÄRJESTADEN;Kalmar lan;6280723;1540764
Butik;807;;Åsevadsgatan 3;;383 31;MÖNSTERÅS;Kalmar lan;6324124;1538719
Butik;808;;Postmastaregatan 16;;572 30;OSKARSHAMN;Kalmar lan;6348913;1538632
Butik;809;;Vastra Kyrkogatan 34;;593 33;VÄSTERVIK;Kalmar lan;6403932.531;1549363.395
Butik;810;;Sevedegatan 25 B;;598 37;VIMMERBY;Kalmar lan;6393520;1502808
Butik;811;;Bangatan 9;;382 40;NYBRO;Kalmar lan;6290738;1505845
Butik;812;;Bryggerigatan 3;;577 30;HULTSFRED;Kalmar lan;6373587;1502275
Butik;813;;Hantverkaregatan 7;;361 30;EMMABODA;Kalmar lan;6278197;1483645
Butik;814;;Allfargatan 9;;385 30;TORSÅS;Kalmar lan;6253828;1512143
Butik;815;;Posttorget;;579 30;HÖGSBY;Kalmar lan;6337209;1513635
Butik;816;;Bondevagen 4;;S-594 31;GAMLEBY;Kalmar lan;6419481;1535247
Butik;902;;Östervag 3 C;;621 45;VISBY;Gotlands lan;6393067;1648993
Butik;903;;Storgatan 61;;623 50;HEMSE;Gotlands lan;6348961;1655264
Butik;904;;Tullhagsplan 2 B;;620 30;SLITE;Gotlands lan;6401616;1678634
Butik;1001;Wachtmeister;Arklimastaregatan 46;;371 35;KARLSKRONA;Blekinge lan;6225904;1486152
Butik;1002;Amiralen;Verkovagen 9;;371 62;Karlskrona-LYCKEBY;Blekinge lan;6229811;1489878
Butik;1003;;Strandgatan 4;;372 30;RONNEBY;Blekinge lan;6231583;1466905
Butik;1004;;Drottninggatan 71 B;;374 38;KARLSHAMN;Blekinge lan;6227534;1441277
Butik;1005;;Jarnvagsgatan 5;;294 34;SÖLVESBORG;Blekinge lan;6214118;1423814
Butik;1006;;Östra Storgatan 34;;S-293 34;OLOFSTRÖM;Blekinge lan;6239566;1421035
Butik;1101;;Östra Boulevarden 3;;S-291 31;KRISTIANSTAD;Skane lan;6212505;1397361
Butik;1103;;Kopmannagatan 2;;296 31;ÅHUS;Skane lan;6200770;1406017
Butik;1104;;Stora Radmansgatan 5;;S-272 31;SIMRISHAMN;Skane lan;6159590;1408055
Butik;1105;;Centralgatan 4;;S-273 30;TOMELILLA;Skane lan;6158678;1383099
Butik;1106;;Forsta Avenyn 7;;281 31;HÄSSLEHOLM;Skane lan;6227333;1373348
Butik;1107;;Storgatan 47 b;;S-262 32;ÄNGELHOLM;Skane lan;6239143;1317627
Butik;1108;;Kopmansgatan 72 D;;S-269 31;BÅSTAD;Skane lan;6259398;1317558
Butik;1109;;Storgatan 23;;S-264 33;KLIPPAN;Skane lan;6226219;1333737
Butik;1110;;Kopmangatan 14F;;S-284 31;PERSTORP;Skane lan;6225863;1350158
Butik;1111;;Vastra Jarnvagsgatan 18;;283 31;OSBY;Skane lan;6251939;1388161
Butik;1112;;Torggatan 15;;S-265 35;ÅSTORP;Skane lan;6226584;1322304
Butik;1113;;Terrassen 1 B;;S-286 31;ÖRKELLJUNGA;Skane lan;6242367;1343566
Butik;1114;;Storgatan 35;;295 31;BROMÖLLA;Skane lan;6217008;1416645
Butik;1115;;Östra Jarnvagsgatan 7;;280 60;BROBY;Skane lan;6237612;1392834
Butik;1202;;Jagersro Center;;213 75;MALMÖ;Skane lan;6163462;1326679
Butik;1203;Entré;Fredsgatan 14 B;;212 12;MALMÖ;Skane lan;6167611;1324624
Butik;1206;Mobilia;Stadiongatan 3D;;214 32;MALMÖ;Skane lan;6164645;1323361
Butik;1207;;Sodra Forstadsgatan 50 B;;211 43;MALMÖ;Skane lan;6166535;1323352
